739,87,91
906,949,345
933,401,424
353,371,114
850,932,291
437,802,875
656,883,327
35,360,91
32,444,938
336,256,912
565,576,896
745,269,999
787,910,174
533,328,796
91,205,931
942,922,133
458,968,377
299,798,535
845,575,513
485,538,352
891,801,697
573,188,738
103,707,111
720,926,660
537,368,36
806,833,143
680,506,879
49,4,95
190,77,246
227,389,947
490,755,368
910,556,827
235,449,30
833,4,545
29,277,202
699,621,575
876,893,384
804,986,464
585,117,84
894,280,60
61,548,375
954,588,555
73,975,540
757,75,620
659,701,812
790,25,160
417,275,696
767,385,567
574,607,25
138,319,852
567,144,67
366,495,920
446,226,732
670,62,222
303,736,867
933,352,805
704,221,156
931,764,781
694,731,895
921,870,273
489,980,346
383,614,762
434,601,166
228,101,572
161,442,149
128,600,424
340,371,673
768,57,414
417,409,433
690,966,527
354,706,652
360,306,600
262,202,848
524,963,688
841,53,486
284,816,364
450,916,412
551,791,25
846,619,378
786,295,604
565,575,473
336,141,190
860,503,732
665,355,234
625,830,935
922,808,178
655,470,790
702,565,249
754,771,519
52,270,287
503,562,754
193,115,227
578,352,508
296,494,264
554,778,879
119,595,544
390,357,97
969,618,862
9,304,640
952,483,753
